bellmanFord,INSA,temps,1058,1193,150.6635176391602,32737040,1181,-1,-1,1001.3619117735198,2008.2224083077288,0.0
dijikstra,INSA,temps,1058,1193,150.6635176391602,19391203,579,523,64,1001.3619117735198,802.8691321854706,802.8691321854706
astar,INSA,temps,1058,1193,150.6635176391602,17617050,545,490,66,1001.3619117735198,770.1482567916302,745.3334223079104
bellmanFord,INSA,longueur,615,254,1596.1206984519958,21348173,1181,-1,-1,730.0641219778566,2379.6904060750403,0.0
dijikstra,INSA,longueur,615,254,1596.1206984519958,17719254,550,526,32,730.0641219778566,1169.2432837817246,1169.2432837817246
astar,INSA,longueur,615,254,1596.1206984519958,11221898,315,284,34,730.0641219778566,570.0728191913126,570.0728191913126
bellmanFord,INSA,temps,615,254,156.17799225997922,9940601,1181,-1,-1,730.0641219778566,2379.6904060750403,0.0
dijikstra,INSA,temps,615,254,156.17799225997922,17171100,508,477,55,730.0641219778566,1338.7434623463193,1169.2432837817246
astar,INSA,temps,615,254,156.17799225997922,16824491,501,465,57,730.0641219778566,1185.0819691810418,1169.2432837817246
bellmanFord,INSA,longueur,129,1049,2197.6288636624813,7504752,1181,-1,-1,1358.4188637423842,2175.3126459435157,0.0
dijikstra,INSA,longueur,129,1049,2197.6288636624813,38456894,1152,1123,42,1358.4188637423842,1324.8440213729593,1324.8440213729593
astar,INSA,longueur,129,1049,2197.6288636624813,22226199,688,635,54,1358.4188637423842,939.3127066120151,930.7169278890913
bellmanFord,INSA,temps,129,1049,243.66166729617117,10601216,1181,-1,-1,1358.4188637423842,2175.3126459435157,0.0
dijikstra,INSA,temps,129,1049,243.66166729617117,23527030,1109,1075,60,1358.4188637423842,1460.7702704739322,1324.8440213729593
astar,INSA,temps,129,1049,243.66166729617117,24530502,1099,1061,64,1358.4188637423842,1460.7702704739322,1324.8440213729593
bellmanFord,INSA,longueur,1091,612,2005.8691358566284,4530678,1181,-1,-1,1142.7556672875928,2180.4481028262994,0.0
dijikstra,INSA,longueur,1091,612,2005.8691358566284,30055819,1113,1092,46,1142.7556672875928,1190.5233679622922,1037.7227005018049
astar,INSA,longueur,1091,612,2005.8691358566284,15882916,709,660,49,1142.7556672875928,804.4476643356788,804.4476643356788
bellmanFord,INSA,temps,1091,612,209.10537278366084,5183710,1181,-1,-1,1142.7556672875928,2180.4481028262994,0.0
dijikstra,INSA,temps,1091,612,209.10537278366084,23275550,1099,1063,69,1142.7556672875928,1189.0992853300977,1037.7227005018049
astar,INSA,temps,1091,612,209.10537278366084,32787312,1080,1035,68,1142.7556672875928,1189.0992853300977,1037.7227005018049
bellmanFord,INSA,longueur,1051,265,1527.5843307971954,4903920,1181,-1,-1,991.7171582877725,2899.0444435006298,0.0
dijikstra,INSA,longueur,1051,265,1527.5843307971954,10665361,474,429,47,991.7171582877725,1052.3431491530832,1025.992612945287
astar,INSA,longueur,1051,265,1527.5843307971954,4784258,192,164,32,991.7171582877725,620.8230418879655,620.8230418879655
bellmanFord,INSA,temps,1051,265,173.6401516857147,10432404,1181,-1,-1,991.7171582877725,2899.0444435006298,0.0
dijikstra,INSA,temps,1051,265,173.6401516857147,11724441,528,474,60,991.7171582877725,1248.5958280834004,1115.0798080471807
astar,INSA,temps,1051,265,173.6401516857147,7900503,480,433,51,991.7171582877725,1248.5958280834004,1115.0798080471807
bellmanFord,INSA,longueur,1308,344,2290.483321994543,6660075,1181,-1,-1,826.8241091891149,2363.609470834976,0.0
dijikstra,INSA,longueur,1308,344,2290.483321994543,15224283,1008,974,48,826.8241091891149,1567.4750555001604,1567.4750555001604
astar,INSA,longueur,1308,344,2290.483321994543,7771056,547,516,48,826.8241091891149,898.9266937172623,898.9266937172623
bellmanFord,INSA,temps,1308,344,254.4138919944763,7864703,1181,-1,-1,826.8241091891149,2363.609470834976,0.0
dijikstra,INSA,temps,1308,344,254.4138919944763,10648687,765,715,69,826.8241091891149,1320.3933794831064,1266.0218135791104
astar,INSA,temps,1308,344,254.4138919944763,10224502,733,679,66,826.8241091891149,1296.7092462059272,1200.5747498598464
bellmanFord,INSA,longueur,949,985,2575.938645839691,7389265,1182,-1,-1,1439.157310819065,1935.8241125653378,0.0
dijikstra,INSA,longueur,949,985,2575.938645839691,15998297,1071,1048,43,1439.157310819065,1935.8241125653378,1730.4713035963985
astar,INSA,longueur,949,985,2575.938645839691,8338667,495,459,49,1439.157310819065,845.1057666853507,845.1057666853507
bellmanFord,INSA,temps,949,985,468.04902741622925,7858611,1182,-1,-1,1439.157310819065,1935.8241125653378,0.0
dijikstra,INSA,temps,949,985,468.04902741622925,17712974,1181,1179,60,1439.157310819065,1935.8241125653378,1730.4713035963985
astar,INSA,temps,949,985,468.04902741622925,19260873,1181,1178,65,1439.157310819065,1935.8241125653378,1730.4713035963985
bellmanFord,INSA,longueur,453,548,1778.7986121177673,6523282,1181,-1,-1,1021.6078696715434,2806.8308437935725,0.0
dijikstra,INSA,longueur,453,548,1778.7986121177673,13066991,965,927,47,1021.6078696715434,1403.787645865169,1177.7904651189933
astar,INSA,longueur,453,548,1778.7986121177673,6407695,312,285,28,1021.6078696715434,547.7880179222466,525.6456932999309
bellmanFord,INSA,temps,453,548,297.37404140853886,8352619,1181,-1,-1,1021.6078696715434,2806.8308437935725,0.0
dijikstra,INSA,temps,453,548,297.37404140853886,15547248,971,925,60,1021.6078696715434,1403.787645865169,1087.201551603472
astar,INSA,temps,453,548,297.37404140853886,16472604,938,891,62,1021.6078696715434,1403.787645865169,1044.1812072822522
