astar,INSA,longueur,1338,1299,1676.974722623825,3617779,431,398,39,929.200758888536
bellmanFord,INSA,temps,1338,1299,191.0459082298279,21734813,1181,-1,-1,929.200758888536
dijikstra,INSA,temps,1338,1299,191.0459082298279,5974752,922,878,61,929.200758888536
astar,INSA,temps,1338,1299,191.0459082298279,6304685,858,815,63,929.200758888536
bellmanFord,INSA,longueur,1092,1314,1891.2862174510956,18752343,1181,-1,-1,1118.9239255142681
dijikstra,INSA,longueur,1092,1314,1891.2862174510956,6548093,1053,1032,46,1118.9239255142681
astar,INSA,longueur,1092,1314,1891.2862174510956,3543132,472,416,60,1118.9239255142681
bellmanFord,INSA,temps,1092,1314,308.53937617564196,22049411,1181,-1,-1,1118.9239255142681
dijikstra,INSA,temps,1092,1314,308.53937617564196,7106189,1174,1166,69,1118.9239255142681
astar,INSA,temps,1092,1314,308.53937617564196,7687275,1174,1164,64,1118.9239255142681
bellmanFord,INSA,longueur,69,1030,1944.4644646644592,16369999,1181,-1,-1,1476.365111317916
dijikstra,INSA,longueur,69,1030,1944.4644646644592,5225274,922,892,41,1476.365111317916
astar,INSA,longueur,69,1030,1944.4644646644592,3110217,503,458,66,1476.365111317916
bellmanFord,INSA,temps,69,1030,261.1470418481827,18072594,1181,-1,-1,1476.365111317916
dijikstra,INSA,temps,69,1030,261.1470418481827,5506933,1034,1001,64,1476.365111317916
astar,INSA,temps,69,1030,261.1470418481827,5441319,1013,984,66,1476.365111317916
bellmanFord,INSA,longueur,904,514,667.4161257743835,23191988,1181,-1,-1,153.18531953631754
dijikstra,INSA,longueur,904,514,667.4161257743835,1079057,91,83,11,153.18531953631754
astar,INSA,longueur,904,514,667.4161257743835,994669,63,58,8,153.18531953631754
bellmanFord,INSA,temps,904,514,170.99005210876464,22035427,1181,-1,-1,153.18531953631754
dijikstra,INSA,temps,904,514,170.99005210876464,921336,184,169,18,153.18531953631754
astar,INSA,temps,904,514,170.99005210876464,3050014,160,147,16,153.18531953631754
bellmanFord,INSA,longueur,161,467,1942.4494484364986,9993166,1184,-1,-1,586.4025909064861
dijikstra,INSA,longueur,161,467,1942.4494484364986,1680116,509,483,36,586.4025909064861
astar,INSA,longueur,161,467,1942.4494484364986,1093190,175,154,24,586.4025909064861
bellmanFord,INSA,temps,161,467,170.80341713404653,12838705,1184,-1,-1,586.4025909064861
dijikstra,INSA,temps,161,467,170.80341713404653,1780810,485,452,42,586.4025909064861
astar,INSA,temps,161,467,170.80341713404653,1563569,436,396,46,586.4025909064861
bellmanFord,INSA,longueur,634,257,1672.8847160339355,10704038,1181,-1,-1,678.1875626916446
dijikstra,INSA,longueur,634,257,1672.8847160339355,1926485,569,542,32,678.1875626916446
astar,INSA,longueur,634,257,1672.8847160339355,1511512,347,310,36,678.1875626916446
bellmanFord,INSA,temps,634,257,167.08517905426024,11563291,1181,-1,-1,678.1875626916446
dijikstra,INSA,temps,634,257,167.08517905426024,2160613,550,510,48,678.1875626916446
astar,INSA,temps,634,257,167.08517905426024,1736279,536,495,52,678.1875626916446
bellmanFord,INSA,longueur,535,601,751.8702590465546,9915883,1181,-1,-1,579.0816067865867
dijikstra,INSA,longueur,535,601,751.8702590465546,1630562,404,368,39,579.0816067865867
astar,INSA,longueur,535,601,751.8702590465546,781828,121,104,21,579.0816067865867
bellmanFord,INSA,temps,535,601,90.22443108558655,11198024,1181,-1,-1,579.0816067865867
dijikstra,INSA,temps,535,601,90.22443108558655,1303787,353,312,43,579.0816067865867
astar,INSA,temps,535,601,90.22443108558655,1462431,318,285,41,579.0816067865867
bellmanFord,INSA,longueur,801,359,2456.0668561458588,12450821,1181,-1,-1,1490.0180874329214
dijikstra,INSA,longueur,801,359,2456.0668561458588,3010583,1133,1117,50,1490.0180874329214
astar,INSA,longueur,801,359,2456.0668561458588,2093336,626,575,59,1490.0180874329214
bellmanFord,INSA,temps,801,359,214.95115459442138,11907238,1181,-1,-1,1490.0180874329214
dijikstra,INSA,temps,801,359,214.95115459442138,2422324,867,816,64,1490.0180874329214
astar,INSA,temps,801,359,214.95115459442138,3033347,818,773,73,1490.0180874329214
bellmanFord,INSA,longueur,554,123,1055.7542147636414,13900246,1181,-1,-1,896.6141238972373
dijikstra,INSA,longueur,554,123,1055.7542147636414,1682954,541,509,46,896.6141238972373
astar,INSA,longueur,554,123,1055.7542147636414,728771,103,75,31,896.6141238972373
bellmanFord,INSA,temps,554,123,99.5663076181412,14224625,1181,-1,-1,896.6141238972373
dijikstra,INSA,temps,554,123,99.5663076181412,2155827,432,373,61,896.6141238972373
astar,INSA,temps,554,123,99.5663076181412,1311933,380,324,57,896.6141238972373
bellmanFord,INSA,longueur,513,57,1556.3051081895828,12795078,1181,-1,-1,1188.0079137102564
dijikstra,INSA,longueur,513,57,1556.3051081895828,4189577,617,582,42,1188.0079137102564
astar,INSA,longueur,513,57,1556.3051081895828,1324203,180,158,23,1188.0079137102564
bellmanFord,INSA,temps,513,57,151.66472605991365,22650516,1181,-1,-1,1188.0079137102564
dijikstra,INSA,temps,513,57,151.66472605991365,2908520,367,324,43,1188.0079137102564
astar,INSA,temps,513,57,151.66472605991365,1829286,296,261,37,1188.0079137102564
bellmanFord,INSA,longueur,228,777,1727.8096380233765,17484355,1181,-1,-1,1248.6875142453841
dijikstra,INSA,longueur,228,777,1727.8096380233765,2986713,703,667,40,1248.6875142453841
astar,INSA,longueur,228,777,1727.8096380233765,2287795,421,376,50,1248.6875142453841
bellmanFord,INSA,temps,228,777,258.0587495698928,19191985,1181,-1,-1,1248.6875142453841
dijikstra,INSA,temps,228,777,258.0587495698928,3886180,989,949,64,1248.6875142453841
astar,INSA,temps,228,777,258.0587495698928,4311096,966,915,66,1248.6875142453841
bellmanFord,INSA,longueur,674,1060,1941.266657590866,19942230,1181,-1,-1,1161.4474834891837
dijikstra,INSA,longueur,674,1060,1941.266657590866,4056406,1046,1021,47,1161.4474834891837
astar,INSA,longueur,674,1060,1941.266657590866,3119742,650,605,53,1161.4474834891837
bellmanFord,INSA,temps,674,1060,256.7697730293273,22288000,1181,-1,-1,1161.4474834891837
dijikstra,INSA,temps,674,1060,256.7697730293273,4291870,1128,1093,64,1161.4474834891837
astar,INSA,temps,674,1060,256.7697730293273,4232763,1102,1062,62,1161.4474834891837
bellmanFord,INSA,longueur,71,410,1267.4734477996826,15151033,1181,-1,-1,954.6753497253959
dijikstra,INSA,longueur,71,410,1267.4734477996826,2135236,482,459,29,954.6753497253959
astar,INSA,longueur,71,410,1267.4734477996826,1722509,242,215,33,954.6753497253959
bellmanFord,INSA,temps,71,410,155.8891277475357,20508670,1181,-1,-1,954.6753497253959
dijikstra,INSA,temps,71,410,155.8891277475357,2088641,465,424,42,954.6753497253959
astar,INSA,temps,71,410,155.8891277475357,2093725,437,405,38,954.6753497253959
bellmanFord,INSA,longueur,847,942,1877.1059365272522,18751232,1181,-1,-1,1083.4002148372977
dijikstra,INSA,longueur,847,942,1877.1059365272522,3770724,879,841,43,1083.4002148372977
astar,INSA,longueur,847,942,1877.1059365272522,2125179,485,435,62,1083.4002148372977
bellmanFord,INSA,temps,847,942,202.62534857940676,16899547,1181,-1,-1,1083.4002148372977
dijikstra,INSA,temps,847,942,202.62534857940676,4015055,905,854,69,1083.4002148372977
astar,INSA,temps,847,942,202.62534857940676,3474955,881,832,75,1083.4002148372977
bellmanFord,INSA,longueur,456,1342,1410.1595993041992,22419493,1181,-1,-1,576.355339189661
dijikstra,INSA,longueur,456,1342,1410.1595993041992,3317290,728,693,47,576.355339189661
astar,INSA,longueur,456,1342,1410.1595993041992,1570550,293,264,33,576.355339189661
bellmanFord,INSA,temps,456,1342,224.88705233001713,24844117,1181,-1,-1,576.355339189661
dijikstra,INSA,temps,456,1342,224.88705233001713,3701894,646,592,60,576.355339189661
astar,INSA,temps,456,1342,224.88705233001713,2299092,590,537,65,576.355339189661
bellmanFord,INSA,longueur,712,192,2669.5093553960323,19739688,1181,-1,-1,1135.0762268313501
dijikstra,INSA,longueur,712,192,2669.5093553960323,4251502,1063,1040,48,1135.0762268313501
astar,INSA,longueur,712,192,2669.5093553960323,2088205,580,512,73,1135.0762268313501
bellmanFord,INSA,temps,712,192,279.15678061294557,19457537,1181,-1,-1,1135.0762268313501
dijikstra,INSA,temps,712,192,279.15678061294557,6402106,945,903,63,1135.0762268313501
astar,INSA,temps,712,192,279.15678061294557,2893797,905,858,63,1135.0762268313501
bellmanFord,INSA,longueur,678,373,445.28054022789,11564962,1181,-1,-1,274.065358523863
dijikstra,INSA,longueur,678,373,445.28054022789,782816,117,105,13,274.065358523863
astar,INSA,longueur,678,373,445.28054022789,852134,52,41,10,274.065358523863
bellmanFord,INSA,temps,678,373,161.4029501152038,4193261,1181,-1,-1,274.065358523863
dijikstra,INSA,temps,678,373,161.4029501152038,1149792,137,114,23,274.065358523863
astar,INSA,temps,678,373,161.4029501152038,1227832,128,107,20,274.065358523863
bellmanFord,INSA,longueur,443,395,526.7701108455658,3176152,1181,-1,-1,157.25243024008935
dijikstra,INSA,longueur,443,395,526.7701108455658,834763,96,79,17,157.25243024008935
astar,INSA,longueur,443,395,526.7701108455658,676405,55,45,9,157.25243024008935
bellmanFord,INSA,temps,443,395,63.212413301467905,3404480,1181,-1,-1,157.25243024008935
dijikstra,INSA,temps,443,395,63.212413301467905,1147522,105,81,24,157.25243024008935
astar,INSA,temps,443,395,63.212413301467905,1184823,95,75,20,157.25243024008935
bellmanFord,INSA,longueur,1111,907,1278.9366488456726,3266756,1181,-1,-1,1000.4601644522073
dijikstra,INSA,longueur,1111,907,1278.9366488456726,1847857,646,617,37,1000.4601644522073
astar,INSA,longueur,1111,907,1278.9366488456726,945621,173,144,30,1000.4601644522073
bellmanFord,INSA,temps,1111,907,158.53756686115267,3092811,1181,-1,-1,1000.4601644522073
dijikstra,INSA,temps,1111,907,158.53756686115267,2401656,801,737,65,1000.4601644522073
astar,INSA,temps,1111,907,158.53756686115267,2192931,736,668,68,1000.4601644522073
bellmanFord,INSA,longueur,1317,405,2246.3797048032284,3232659,1181,-1,-1,1063.681646635471
dijikstra,INSA,longueur,1317,405,2246.3797048032284,2459632,838,802,48,1063.681646635471
astar,INSA,longueur,1317,405,2246.3797048032284,1158839,391,343,48,1063.681646635471
bellmanFord,INSA,temps,1317,405,430.7422515449525,3474520,1181,-1,-1,1063.681646635471
dijikstra,INSA,temps,1317,405,430.7422515449525,2762382,913,866,69,1063.681646635471
astar,INSA,temps,1317,405,430.7422515449525,2554158,895,847,68,1063.681646635471
bellmanFord,INSA,longueur,1306,198,2053.860591739416,3056308,1181,-1,-1,1383.1296838001908
dijikstra,INSA,longueur,1306,198,2053.860591739416,2075236,784,753,48,1383.1296838001908
astar,INSA,longueur,1306,198,2053.860591739416,1198414,281,243,41,1383.1296838001908
bellmanFord,INSA,temps,1306,198,346.1449069747925,3447119,1181,-1,-1,1383.1296838001908
dijikstra,INSA,temps,1306,198,346.1449069747925,3210233,998,947,69,1383.1296838001908
astar,INSA,temps,1306,198,346.1449069747925,2749086,960,906,74,1383.1296838001908
bellmanFord,INSA,longueur,1315,638,1795.6836784780025,3379565,1181,-1,-1,282.34494949832435
dijikstra,INSA,longueur,1315,638,1795.6836784780025,1555630,544,501,47,282.34494949832435
astar,INSA,longueur,1315,638,1795.6836784780025,1095278,206,190,19,282.34494949832435
bellmanFord,INSA,temps,1315,638,305.3830157546996,3424946,1181,-1,-1,282.34494949832435
dijikstra,INSA,temps,1315,638,305.3830157546996,1539462,376,340,37,282.34494949832435
astar,INSA,temps,1315,638,305.3830157546996,2347137,343,319,28,282.34494949832435
bellmanFord,INSA,longueur,1313,98,2966.636105388403,3296654,1181,-1,-1,1538.4302867165375
